,filepath,label,label_tag
0,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1124).JPG,0,Bacterial_spot
1,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (99).JPG,0,Bacterial_spot
2,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (710).JPG,0,Bacterial_spot
3,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (758).JPG,0,Bacterial_spot
4,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (904).JPG,0,Bacterial_spot
5,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (250).JPG,0,Bacterial_spot
6,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (853).JPG,0,Bacterial_spot
7,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (270).JPG,0,Bacterial_spot
8,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (227).JPG,0,Bacterial_spot
9,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (108).JPG,0,Bacterial_spot
10,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (398).JPG,0,Bacterial_spot
11,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (742).JPG,0,Bacterial_spot
12,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (999).JPG,0,Bacterial_spot
13,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1045).JPG,0,Bacterial_spot
14,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (226).JPG,0,Bacterial_spot
15,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (364).JPG,0,Bacterial_spot
16,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (11).JPG,0,Bacterial_spot
17,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (571).JPG,0,Bacterial_spot
18,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (272).JPG,0,Bacterial_spot
19,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (76).JPG,0,Bacterial_spot
20,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (359).JPG,0,Bacterial_spot
21,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1027).JPG,0,Bacterial_spot
22,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1116).JPG,0,Bacterial_spot
23,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1217).JPG,0,Bacterial_spot
24,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (556).JPG,0,Bacterial_spot
25,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (379).JPG,0,Bacterial_spot
26,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (17).JPG,0,Bacterial_spot
27,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (12).JPG,0,Bacterial_spot
28,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1202).JPG,0,Bacterial_spot
29,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (925).JPG,0,Bacterial_spot
30,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (901).JPG,0,Bacterial_spot
31,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1277).JPG,0,Bacterial_spot
32,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (552).JPG,0,Bacterial_spot
33,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (520).JPG,0,Bacterial_spot
34,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1024).JPG,0,Bacterial_spot
35,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (24).JPG,0,Bacterial_spot
36,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (92).JPG,0,Bacterial_spot
37,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (678).JPG,0,Bacterial_spot
38,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (245).JPG,0,Bacterial_spot
39,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (22).JPG,0,Bacterial_spot
40,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (486).JPG,0,Bacterial_spot
41,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (264).JPG,0,Bacterial_spot
42,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1040).JPG,0,Bacterial_spot
43,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (195).JPG,0,Bacterial_spot
44,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (768).JPG,0,Bacterial_spot
45,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1094).JPG,0,Bacterial_spot
46,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (575).JPG,0,Bacterial_spot
47,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1189).JPG,0,Bacterial_spot
48,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1244).JPG,0,Bacterial_spot
49,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (784).JPG,0,Bacterial_spot
50,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (212).JPG,0,Bacterial_spot
51,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (218).JPG,0,Bacterial_spot
52,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (632).JPG,0,Bacterial_spot
53,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (464).JPG,0,Bacterial_spot
54,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (185).JPG,0,Bacterial_spot
55,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (549).JPG,0,Bacterial_spot
56,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (431).JPG,0,Bacterial_spot
57,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (298).JPG,0,Bacterial_spot
58,PlantVillage-Tomato/Train/Tomato___Bacterial_spot/image (1254).JPG,0,Bacterial_spot
